County,Democratic,Republican,Green,Constitution,Libertarian,Unaffiliated,White,Black,American indan,Native Hawaiian,Other,Hispanic,Male,Female,Total
ALAMANCE,39529,33130,0,0,440,28037,72449,20715,273,0,7699,2770,44140,54471,101136
ALEXANDER,6553,10749,0,0,71,7056,22683,1006,33,0,707,232,11651,12541,24429
ALLEGHANY,2813,2557,0,0,36,2064,7132,83,12,0,243,166,3495,3903,7470
ANSON,11939,2456,0,0,19,3002,7514,7682,37,0,2183,58,7013,8311,17416
ASHE,5668,8060,0,0,65,5251,18479,104,22,0,439,177,8934,9962,19044
AVERY,1493,7029,0,0,49,3388,11546,94,23,0,296,83,5527,6342,11959
BEAUFORT,13896,10743,0,0,98,8585,23509,8395,43,0,1375,312,14843,17679,33322
BERTIE,10309,1541,0,0,19,2379,5059,8584,19,0,586,26,6158,7696,14248
BLADEN,13713,3462,0,0,33,5878,13404,8560,419,0,703,303,10529,12407,23086
BRUNSWICK,27092,35487,0,0,339,32397,81983,8971,285,0,4076,991,43445,49984,95315
BUNCOMBE,78237,47793,0,0,1287,71055,172932,11420,445,0,13575,3029,88822,104478,198372
BURKE,19317,20667,0,0,254,18324,52314,3509,89,0,2650,672,27394,30805,58562
CABARRUS,41399,49354,0,0,669,41110,98851,23187,347,0,10147,3863,59498,70288,132532
CALDWELL,15152,24845,0,0,338,15153,50852,2932,65,0,1639,672,26255,28862,55488
CAMDEN,2499,2343,0,0,43,2798,6291,1104,15,0,273,30,3704,3909,7683
CARTERET,12934,22223,0,0,228,17580,47974,2772,110,0,2109,456,24307,27453,52965
CASWELL,8266,3705,0,0,32,3826,9810,5415,24,0,580,111,7130,8426,15829
CATAWBA,27509,44883,0,0,389,31896,88469,9562,137,0,6509,2284,48150,55422,104677
CHATHAM,20770,13167,0,0,215,17298,40485,6450,108,0,4407,1256,22498,26443,51450
CHEROKEE,6552,9951,0,0,112,7242,23008,255,151,0,443,166,11164,12620,23857
CHOWAN,5108,2610,0,0,23,2651,6858,3244,12,0,278,36,4646,5665,10392
CLAY,2231,3627,0,0,36,3145,8751,49,18,0,221,51,4277,4681,9039
CLEVELAND,26797,20451,0,0,209,16313,47379,13929,92,0,2370,540,28652,34130,63770
COLUMBUS,21467,6709,0,0,53,8394,23142,11538,1024,0,919,210,16509,19889,36623
CRAVEN,25461,24821,0,0,353,21388,51359,16303,168,0,4193,1444,32274,38633,72023
CUMBERLAND,99264,48845,0,0,997,62909,95409,87276,2281,0,27049,10663,90199,111117,212015
CURRITUCK,4173,6750,0,0,128,7821,17161,1028,52,0,631,141,8990,9645,18872
DARE,9279,8902,0,0,196,11157,28013,575,35,0,911,220,14002,15271,29534
DAVIDSON,27751,49405,0,0,414,28362,91562,10008,268,0,4094,1458,49069,56031,105932
DAVIE,5735,15177,0,0,95,8539,26314,1988,38,0,1206,407,13767,15583,29546
DUPLIN,14476,8177,0,0,92,7432,18940,9229,49,0,1959,1282,13245,16079,30177
DURHAM,129682,29895,0,0,1079,71772,114904,86460,633,0,30431,7649,99032,124459,232428
EDGECOMBE,27482,6235,0,0,71,4815,14074,23455,60,0,1014,319,16848,21381,38603
FORSYTH,106765,77076,0,0,1170,71152,164857,70785,526,0,19995,7675,111462,137410,256163
FRANKLIN,18617,13191,0,0,191,11548,29377,11642,128,0,2400,818,19976,22461,43547
