County,Democratic,Republican,Green,Constitution,Libertarian,Unaffiliated,White,Black,American_indian,Native Hawaiian,Other,Hispanic,Male,Female,Total
,,,,,,,,,,,,,,,
ALAMANCE,39209,36271,31,66,654,34695,71870,21888,274,7,16887,4398,45447,55668,110926
ALEXANDER,5105,11775,3,22,108,7940,21634,938,37,1,2343,352,11217,12071,24953
ALLEGHANY,2156,2984,4,2,34,2429,6739,76,8,0,786,188,3359,3647,7609
ANSON,10125,2867,8,24,35,3673,6709,6817,28,0,3178,84,6292,7542,16732
ASHE,4502,8875,5,16,92,6055,17822,110,24,0,1589,237,8723,9727,19545
AVERY,1428,7161,6,9,61,3690,11096,73,19,0,1167,91,5465,6048,12355
BEAUFORT,11952,12094,16,18,109,9901,23194,7765,40,0,3091,492,14574,17098,34090
BERTIE,8767,1631,3,3,38,2893,4624,7784,19,1,907,40,5608,6993,13335
BLADEN,10752,4956,5,7,63,7072,12731,8003,405,1,1715,460,10109,11851,22855
BRUNSWICK,27185,45501,30,53,585,41391,92044,8660,345,2,13694,1418,48197,55501,114745
BUNCOMBE,77672,47587,252,112,1669,80083,169162,10829,383,33,26968,4141,87683,102842,207375
BURKE,15402,22702,31,46,330,19798,48586,3224,90,0,6409,1003,25762,28592,58309
CABARRUS,44766,52563,76,109,1109,51972,95423,27505,369,6,27292,5580,61687,72498,150595
CALDWELL,11396,26552,38,34,390,16370,46972,2729,68,0,5011,930,24484,26821,54780
CAMDEN,1759,2894,2,2,62,3448,6503,969,11,1,683,36,3741,3975,8167
CARTERET,10076,23502,13,30,278,17875,44104,2213,85,4,5368,529,22281,25157,51774
CASWELL,6924,3931,4,10,47,4597,9267,4851,22,1,1372,169,6754,7737,15513
CATAWBA,23167,47694,33,67,565,37337,84405,9046,127,2,15283,3574,47241,53186,108863
CHATHAM,21343,14198,20,24,296,22048,41836,6066,125,1,9901,1814,23643,27635,57929
CHEROKEE,4271,10919,11,10,126,7343,21119,236,133,0,1192,192,10608,11691,22680
CHOWAN,4197,2891,3,3,35,3130,6495,3040,12,2,710,69,4423,5466,10259
CLAY,1634,4184,3,5,61,3244,8505,43,16,0,567,67,4157,4548,9131
CLEVELAND,23065,24938,17,52,344,19309,46829,13701,97,2,7096,713,28717,33690,67725
COLUMBUS,16971,9567,7,19,95,10391,22338,10872,959,0,2881,321,15939,19027,37050
CRAVEN,21922,26640,42,43,496,23713,49561,14825,169,6,8295,1727,31033,37180,72856
CUMBERLAND,98034,52493,103,188,1701,74134,91440,89095,2416,49,43653,13132,89878,111528,226653
CURRITUCK,3659,8879,14,15,198,9067,18885,1102,48,2,1795,168,10071,10572,21832
DARE,7856,10135,22,15,211,11889,26875,531,37,1,2684,255,13406,14812,30128
